,'avg','homerun','bant','steel'
'kawabata',0.336,8,2,4
'yamada',0.329,38,0,34
'tutugo',0.317,24,0,0
'runa',0.292,8,0,11
'ropez',0.291,25,0,1
'hirata',0.283,13,1,11
'toritani',0.281,6,2,9
'fukudome',0.281,20,1,1
'maton',0.276,9,0,0
'kajitani',0.275,13,2,28
'arai',0.275,7,0,3
'tanakako',0.274,8,5,6
'gomez',0.271,17,0,0
'ernandes',0.271,11,10,5
'yuhei',0.27,8,1,7
'sakamoto',0.269,12,9,10
'hatakeyama',0.268,26,0,0
'ohshima',0.26,6,10,22
'baldiris',0.258,13,0,0
'kikuchi',0.254,8,49,19
'uemoto',0.253,4,29,19
'chono',0.251,15,5,3
'maru',0.249,19,4,15
'nakamuray',0.231,2,14,3
'yanagita',0.363,34,0,32
'akiyama',0.359,14,7,17
'kondo',0.326,8,3,6
'kiyota',0.317,15,0,10
'nakamuraa',0.3,1,9,7
'kakunaka',0.293,6,7,8
'matsuda',0.287,35,0,8
'mori',0.287,17,0,0
'tanakake',0.284,4,5,9
'uchikawa',0.284,11,0,1
'ideho',0.282,31,0,0
'nakamurat',0.278,37,0,1
'nishikawa',0.276,5,15,30
'fujita',0.27,5,16,8
'asamura',0.27,13,2,12
'penya',0.268,17,0,1
'kuriyama',0.268,10,8,3
'nakashima',0.264,0,34,34
'nakashima',0.263,30,0,1
'suzukid',0.263,6,24,1
'itoi',0.262,17,0,11
'matsui',0.256,10,7,14
'cruez',0.255,16,0,0
'nakajima',0.24,10,0,1
'adachi',0.239,11,29,16
'goto',0.237,9,10,13
'mehia',0.235,27,0,0
'reard',0.231,34,0,1
'imamiya',0.228,7,35,3
'sumitani',0.211,4,22,0